category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,24,29862,546.3165283203125,491.734130859375,1000.0
bus_stop,445,69746,363.04864501953125,326.7764587402344,1000.0
clinic_hospital,6,10123,650.5047607421875,585.5128784179688,1000.0
convenience,93,58037,421.0182189941406,378.9543151855469,1000.0
fitness_centre,12,21223,550.9703979492188,495.9229736328125,1000.0
kinder_childcare,47,37337,473.5400695800781,426.22869873046875,1000.0
library,5,6331,583.74609375,525.424072265625,1000.0
parcel_locker,139,55798,418.74517822265625,376.9083557128906,1000.0
park,28,25405,600.1090698242188,540.1522216796875,1000.0
pet_shop,12,18009,659.080810546875,593.2320556640625,1000.0
pharmacy,22,28510,584.2125244140625,525.8439331054688,1000.0
playground,274,61019,320.7773132324219,288.7284851074219,1000.0
pub,1,276,485.8492126464844,437.30804443359375,1000.0
rail_station,15,11641,616.8116455078125,555.18603515625,1000.0
school,29,25977,548.6732177734375,493.8553161621094,1000.0
supermarket,32,32701,544.732421875,490.3082275390625,1000.0
tram_stop,4,2733,584.7198486328125,526.300537109375,1000.0
veterinary,12,14727,584.8116455078125,526.3831176757812,1000.0
