category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,53,70480,486.09344482421875,437.5278625488281,1000.0
bus_stop,589,118927,332.33026123046875,299.1271667480469,1000.0
clinic_hospital,16,19040,634.6627197265625,571.2535400390625,1000.0
convenience,152,103327,382.62921142578125,344.4007568359375,1000.0
fitness_centre,16,34543,635.3148193359375,571.840576171875,1000.0
kinder_childcare,71,71251,507.9126281738281,457.1671142578125,1000.0
library,14,38552,613.4017944335938,552.1168212890625,1000.0
nightclub,2,4763,569.075927734375,512.2196044921875,1000.0
parcel_locker,190,103500,405.83184814453125,365.28521728515625,1000.0
park,53,62384,529.7293701171875,476.8041687011719,1000.0
pet_shop,19,36825,614.5225830078125,553.1256713867188,1000.0
pharmacy,55,74010,495.54876708984375,446.03851318359375,1000.0
playground,327,108368,296.4566650390625,266.83770751953125,1000.0
pub,8,12729,585.6942138671875,527.1775512695312,1000.0
rail_station,14,22147,632.9056396484375,569.6720581054688,1000.0
school,55,69366,568.984375,512.13720703125,1000.0
supermarket,58,76305,493.299560546875,444.0140380859375,1000.0
tram_stop,4,5161,604.5177001953125,544.120361328125,1000.0
university,13,17539,591.7675170898438,532.64404296875,1000.0
veterinary,19,36545,598.0350341796875,538.285400390625,1000.0
