category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,3,3681,388.6827087402344,349.84942626953125,1000.0
bus_stop,101,7604,313.75030517578125,282.40350341796875,1000.0
clinic_hospital,1,282,642.6463623046875,578.4395751953125,1000.0
convenience,23,5621,303.2397766113281,272.943115234375,1000.0
fitness_centre,1,706,728.2442626953125,655.4853515625,1000.0
kinder_childcare,2,2897,741.8674926757812,667.74755859375,1000.0
library,1,223,461.4572448730469,415.35308837890625,1000.0
parcel_locker,11,5127,403.832763671875,363.48583984375,1000.0
park,4,3727,444.5794372558594,400.1615295410156,1000.0
pet_shop,1,1399,661.9532470703125,595.8175048828125,1000.0
pharmacy,4,4074,467.5928955078125,420.875732421875,1000.0
playground,27,5117,274.5517272949219,247.12127685546875,1000.0
rail_station,1,116,504.68438720703125,454.26141357421875,1000.0
school,8,4337,648.0119018554688,583.26904296875,1000.0
supermarket,2,3284,598.766845703125,538.944091796875,1000.0
