category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,1,1197,555.0955810546875,499.6360168457031,1000.0
bus_stop,212,15622,477.0039367675781,429.34649658203125,1000.0
clinic_hospital,1,456,313.40374755859375,282.09161376953125,1000.0
convenience,19,6059,545.9953002929688,491.4449462890625,1000.0
kinder_childcare,6,3033,687.0337524414062,618.3922729492188,1000.0
library,1,451,391.8632507324219,352.71221923828125,1000.0
parcel_locker,18,5532,612.4932861328125,551.2991943359375,1000.0
park,5,1740,552.923583984375,497.6810302734375,1000.0
pharmacy,4,1791,543.962646484375,489.6153564453125,1000.0
playground,35,9307,542.9898681640625,488.7397766113281,1000.0
school,9,2998,670.4326171875,603.4497680664062,1000.0
supermarket,9,3251,535.8575439453125,482.3200378417969,1000.0
veterinary,1,642,638.2567749023438,574.488525390625,1000.0
