category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,135,125837,388.5519104003906,349.7317199707031,1000.0
bus_stop,516,157010,290.9322204589844,261.8652038574219,1000.0
clinic_hospital,42,78127,590.3263549804688,531.3468627929688,1000.0
convenience,291,146907,280.29840087890625,252.29380798339844,1000.0
fitness_centre,32,77666,600.5426025390625,540.54248046875,1000.0
kinder_childcare,100,125386,450.06146240234375,405.0958251953125,1000.0
library,24,90390,612.414306640625,551.22802734375,1000.0
nightclub,13,20764,630.4072265625,567.4232788085938,1000.0
parcel_locker,310,145441,327.3898620605469,294.68035888671875,1000.0
park,129,131613,453.2054748535156,407.9257507324219,1000.0
pet_shop,30,82192,550.7818603515625,495.7532958984375,1000.0
pharmacy,100,119742,426.31146240234375,383.71868896484375,1000.0
playground,555,152250,225.60580444335938,203.06553649902344,1000.0
pub,32,75437,589.67431640625,530.760009765625,1000.0
rail_station,23,59469,693.6266479492188,624.3264770507812,1000.0
school,98,130463,473.5404968261719,426.2290954589844,1000.0
supermarket,80,127502,449.8704833984375,404.9239501953125,1000.0
tram_stop,135,81757,428.0989685058594,385.32763671875,1000.0
university,29,58908,620.1807861328125,558.2185668945312,1000.0
veterinary,21,72798,571.127197265625,514.06591796875,1000.0
