category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,185,203806,413.6981201171875,372.36553955078125,1000.0
bus_stop,862,251804,281.75921630859375,253.60867309570312,1000.0
clinic_hospital,56,118638,610.451904296875,549.461669921875,1000.0
convenience,438,236390,276.2612609863281,248.66001892089844,1000.0
fitness_centre,44,115507,609.9819946289062,549.0387573242188,1000.0
kinder_childcare,158,206537,445.7524108886719,401.2173156738281,1000.0
library,29,107790,631.7758178710938,568.6551513671875,1000.0
nightclub,13,34630,635.1571044921875,571.6986083984375,1000.0
parcel_locker,527,236428,316.60400390625,284.97210693359375,1000.0
park,151,182590,465.70068359375,419.17254638671875,1000.0
pet_shop,31,101575,579.2601928710938,521.3863525390625,1000.0
pharmacy,135,194867,466.4032287597656,419.8049011230469,1000.0
playground,1179,245415,194.710693359375,175.2571563720703,1000.0
pub,39,71013,573.3470458984375,516.06396484375,1000.0
rail_station,26,69879,692.693603515625,623.4866333007812,1000.0
school,129,198718,511.79754638671875,460.66387939453125,1000.0
supermarket,129,206560,450.5093688964844,405.4989929199219,1000.0
tram_stop,223,151963,439.9017639160156,395.9512023925781,1000.0
university,29,67410,587.8587646484375,529.1258544921875,1000.0
veterinary,30,106161,596.4129638671875,536.8253784179688,1000.0
