category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,23,27012,489.0921630859375,440.22698974609375,1000.0
bus_stop,339,51829,290.94085693359375,261.87298583984375,1000.0
clinic_hospital,3,5974,614.4935913085938,553.099609375,1000.0
convenience,87,43794,340.154296875,306.16949462890625,1000.0
fitness_centre,6,9489,645.9561157226562,581.418701171875,1000.0
kinder_childcare,27,30703,530.1295166015625,477.164306640625,1000.0
library,2,5292,612.72705078125,551.509521484375,1000.0
nightclub,2,3799,673.8955078125,606.566650390625,1000.0
parcel_locker,110,42276,356.28448486328125,320.6881103515625,1000.0
park,31,25993,482.5352478027344,434.3251647949219,1000.0
pet_shop,7,14363,553.7793579101562,498.4512939453125,1000.0
pharmacy,23,32048,526.09912109375,473.5365905761719,1000.0
playground,211,46774,260.62078857421875,234.58218383789062,1000.0
pub,2,6679,649.6098022460938,584.7073364257812,1000.0
rail_station,7,11766,628.5443115234375,565.7465209960938,1000.0
school,24,29036,601.9486694335938,541.8079833984375,1000.0
supermarket,39,36717,443.8147888183594,399.4732666015625,1000.0
veterinary,7,11257,563.0510864257812,506.79669189453125,1000.0
