category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,2,2666,391.034423828125,351.9661865234375,1000.0
bus_stop,33,6832,303.04693603515625,272.76953125,1000.0
convenience,10,2702,227.84661865234375,205.08245849609375,1000.0
kinder_childcare,3,2691,391.19036865234375,352.1065673828125,1000.0
parcel_locker,3,2676,325.66851806640625,293.1309814453125,1000.0
park,7,3809,354.5326232910156,319.1112976074219,1000.0
pet_shop,1,2161,424.4901123046875,382.0793151855469,1000.0
pharmacy,3,2537,355.2373962402344,319.7456359863281,1000.0
playground,14,2911,194.8079833984375,175.3447265625,1000.0
rail_station,3,652,547.768798828125,493.041259765625,1000.0
school,2,2660,425.41595458984375,382.91265869140625,1000.0
supermarket,3,2676,348.027099609375,313.2557373046875,1000.0
tram_stop,12,2724,323.13818359375,290.8534851074219,1000.0
university,2,2897,580.0630493164062,522.1090087890625,1000.0
veterinary,1,2553,562.196044921875,506.0270690917969,1000.0
